category_name,subcategory_name,product_name,per_piece,0.5lb,1lb,1.5lb,2lb,2.5lb,3lb,3.5lb,4lb,4.5lb,5lb,is_chef_special,dietary_tag,is_veg
"Signature Cakes",Opera,"Dreamy Rose Opera",,,1250.00,1725.00,2500.00,3125.00,3750.00,,,,,0,Eggless,1
"Signature Cakes",Opera,"Berry Opera",,,1350.00,2025.00,2700.00,3375.00,4050.00,,,,,0,Eggless,1
"Signature Cakes",Opera,"Cappuccino Opera",,,1250.00,1875.00,2500.00,3125.00,3750.00,,,,,0,Eggless,1
Other,Moussecakes,"Pure Hazelnut Moussecake",,,1400.00,2100.00,2800.00,,,,,,,0,Eggless,1
Cakes,"Classic Chocolate","Mocha Salted Caramel",,,1200.00,1800.00,2400.00,3000.00,3600.00,,4800.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Vanilla Nutella",,,1150.00,1725.00,2300.00,2875.00,3450.00,,4000.00,,,0,Eggless,1
"Signature Cakes",Opera,"Biscoff Opera",,,1300.00,1950.00,2600.00,3250.00,3900.00,,,,,0,Eggless,1
Other,Tiramisu,"Irish Tiramisu",,,1400.00,2100.00,2800.00,,4200.00,,,,,0,Eggless,1
Other,Tiramisu,"Classic Tiramisu",,,1200.00,1800.00,2400.00,,3600.00,,,,,0,Eggless,1
Other,Moussecakes,"Triple Chocolate Moussecake",,,1350.00,,2700.00,,4050.00,,,,,0,Eggless,1
Other,Moussecakes,"Mocha Hazelnut Biscoff Moussecake",,,1300.00,1950.00,2600.00,,3900.00,,,,,0,Eggless,1
"Signature Cakes","Non Chocolate Cheesecake","OG Baileys Cheesecake",,,1550.00,2325.00,3100.00,,4650.00,,6200.00,,,0,Eggless,1
"Signature Cakes","Non Chocolate Cheesecake","Lime and Mint Cheesecake",,,1200.00,1800.00,2400.00,,3600.00,,,,,0,Eggless,1
"Signature Cakes","Non Chocolate Cheesecake","Berry Cheesecake",,,1250.00,1875.00,2500.00,,3750.00,,5000.00,,,0,Eggless,1
"Signature Cakes","Non Chocolate Cheesecake","Biscoff Cheesecake",,,1250.00,1875.00,2500.00,,3750.00,,5000.00,,,0,Eggless,1
"Signature Cakes","Chocolate Cheesecake","Nutella Oreo Cheesecake",,,1350.00,2025.00,2700.00,,4050.00,,5400.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate",Rasmalai,,,1150.00,1725.00,2300.00,2875.00,3450.00,,4600.00,,5750.00,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Butterscotch Caramel",,,1050.00,1575.00,2100.00,2625.00,3150.00,,4200.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Mixed Fruit Gateau",,,1100.00,1650.00,2200.00,,3300.00,,4400.00,,5500.00,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Red Velvet",,,1100.00,1650.00,2200.00,,3300.00,,4400.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Vanilla Biscoff Gateau",,,1200.00,1800.00,2400.00,,3600.00,,4800.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Rose Vanilla Gateau",,,1100.00,1650.00,2200.00,,3300.00,,4400.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Lemon Wildberry",,,1100.00,1650.00,2200.00,,3300.00,,4400.00,,,0,Eggless,1
"Signature Cakes","Classic Non Chocolate","Paan Gateau",,,1100.00,1650.00,2200.00,,3300.00,,4400.00,,,0,Eggless,1
Cakes,"Classic Chocolate","Pure Belgian Biscoff",,,1350.00,2025.00,2700.00,,4050.00,,5400.00,,6750.00,0,Eggless,1
Cakes,"Classic Chocolate","Hazelnut Praline Truffle",,,1250.00,1875.00,2500.00,,3750.00,,5000.00,,6250.00,0,Eggless,1
Cakes,"Classic Chocolate","Layered Nutella Oreo",,,1200.00,1800.00,2400.00,,3600.00,,4800.00,,6000.00,0,Eggless,1
Cakes,"Classic Chocolate","Choco Raspberry",,,1200.00,1800.00,2400.00,,3600.00,,4800.00,,6000.00,0,Eggless,1
Cakes,"Classic Chocolate","Belgian Truffle",,,1200.00,1800.00,2400.00,3000.00,3600.00,,4800.00,,,0,Eggless,1
Cakes,"Classic Chocolate","7 Layered Choco Salted Caramel",,,1200.00,1800.00,2400.00,3000.00,3600.00,,4800.00,,,0,Eggless,1
Cakes,"Classic Chocolate","7 Layered Choco Hazelnut",,,1200.00,1800.00,2400.00,3000.00,3600.00,,4600.00,,,0,Eggless,1
